ID;MORADOR;NUMERO_CONTROLE;BLOCO;DT_VISITA;TEMPO_TOTAL_ENTREV;IDADE;PAIS;ESTADO;CIDADE;OUTRA_CIDADE;BAIRRO_BH;REGIAO_BH;REGIONAL_ORIGEM;PRETENDERIA_VIAJAR;PERNOITE_BH;T_PERNOITE;HOSPEDAGEM;TRANSPORTE;MOTIVO_CARNAVAL;MOTIVO_OUTRO;DIAS_CARNAVAL;GASTOS_PRETENDIDOS;PESSOAS_GASTOS;ALIMENTACAO_GASTOS;TRANSPORTE_GASTOS;FANTASIAS_GASTOS;COMPRAS_GASTOS;INGRESSOS_GASTOS;OUTROS_GASTOS;HOSPEDAGEM_GASTOS;PASSEIOS_GASTOS;TOTAL_GASTOS;INDIVIDUAL_GASTOS;DIARIO_GASTOS;FONTE_CARNAVAL;PARTICIPOU_ANOSANTERIORES;EVOLUCAO;MOTIVO;EXPECTATIVAS;AVAL_GERAL;AVAL_BANHEIROS;AVAL_SEGURANCA;AVAL_PRECOS;PROXIMA_EDICAO;MOTIVO_NAO;BLOCOS_DE_RUA;EVENTOS_PRIVADOS;PALCOS;CIRCUITO_GASTRONOMICO;CITY_TOUR;VISITA_CULTURAL;NAO_SABE;PRINCIPAL_PATROCINADOR;GENERO;ESCOLARIDADE;ESTADO_CIVIL;FAIXA_DE_RENDA;TRANSP_A_PE;TRANSP_APP;TRANSP_BICICLETA;TRANSP_CAR_AMIGOS_PARENTES;TRANSP_TAXI;TRANSP_OUTROS;TRANSP_VEICULO_PROPRIO;TRANSP_VEICULO_ALUGADO;TRANSP_ONIBUS_COLETIVO;TRANSP_NS;TRANSP_METRO
698;morador;698;alo_abacaxi;03/03/2019 11:27;00:05:59;18;brasil;mg;belo_horizonte;NA;sao_lucas;centro-sul;belo_horizonte;sim;nr_nao_sabe;nr_nao_sabe;nr_nao_sabe;nr_nao_sabe;nr_nao_sabe;nr_nao_sabe;3;400;real;1;300;100;0;0;0;0;0;NA;400;400;facebook;sim;melhorou;NR_NAO_SABE;atendeu_plenamente;9;10;7;7;sim;NA;NA;NA;sim;NA;NA;NA;NA;skol;masculino;ensino_medio_completo;solteiro;entre_3_sm_e_5_sm_(rs_2.994,01_a_rs_4.990,00);outra_opcao;outra_opcao;outra_opcao;carro_de_amigos_ou_parentes;outra_opcao;outra_opcao;outra_opcao;outra_opcao;outra_opcao;outra_opcao;outra_opcao
699;morador;699;alo_abacaxi;03/03/2019 11:52;00:02:30;26;brasil;mg;belo_horizonte;NA;funciorios;centro-sul;belo_horizonte;sim;nr_nao_sabe;nr_nao_sabe;nr_nao_sabe;nr_nao_sabe;nr_nao_sabe;nr_nao_sabe;2;300;real;1;200;100;0;0;0;0;0;NA;300;300;amigos/parentes;sim;nem_melhorou_nem_piorou;NR_NAO_SABE;atendeu_em_parte;6;4;10;10;sim;NA;NA;sim;sim;NA;NA;NA;NA;prefeitura;masculino;ensino_superior_completo;solteiro;entre_5_sm_e_7_sm_(rs_4.990,01_a_rs_6.986,00);outra_opcao;aplicativos_(uber_cabify_99);outra_opcao;outra_opcao;outra_opcao;outra_opcao;outra_opcao;outra_opcao;outra_opcao;outra_opcao;outra_opcao
700;morador;700;alo_abacaxi;03/03/2019 11:19;00:07:37;20;brasil;mg;belo_horizonte;NA;miliorios;barreiro;belo_horizonte;sim;nr_nao_sabe;nr_nao_sabe;nr_nao_sabe;nr_nao_sabe;nr_nao_sabe;nr_nao_sabe;2;200;real;1;150;0;0;0;0;0;0;NA;150;150;amigos/parentes;sim;nem_melhorou_nem_piorou;NR_NAO_SABE;atendeu_plenamente;7;6;7;5;sim;NA;NA;NA;sim;NA;NA;NA;NA;skol;feminino;ensino_medio_completo;solteiro;entre_3_sm_e_5_sm_(rs_2.994,01_a_rs_4.990,00);outra_opcao;outra_opcao;outra_opcao;outra_opcao;outra_opcao;outra_opcao;outra_opcao;outra_opcao;onibus_coletivo;outra_opcao;outra_opcao
701;morador;701;alo_abacaxi;03/03/2019 11:44;00:02:05;32;brasil;mg;lagoa_santa;NA;NA;NA;rmbh;nao;nr_nao_sabe;nr_nao_sabe;nr_nao_sabe;nr_nao_sabe;nr_nao_sabe;nr_nao_sabe;2;300;real;1;200;100;0;0;0;0;0;NA;300;300;amigos/parentes;sim;melhorou;NR_NAO_SABE;atendeu_plenamente;8;5;5;5;sim;NA;NA;sim;sim;NA;NA;NA;NA;prefeitura;masculino;ensino_superior_completo;solteiro;entre_5_sm_e_7_sm_(rs_4.990,01_a_rs_6.986,00);outra_opcao;aplicativos_(uber_cabify_99);outra_opcao;outra_opcao;outra_opcao;outra_opcao;outra_opcao;outra_opcao;outra_opcao;outra_opcao;outra_opcao
702;morador;702;alo_abacaxi;03/03/2019 11:40;00:04:02;21;brasil;mg;belo_horizonte;NA;santa_amelia;pampulha;belo_horizonte;sim;nr_nao_sabe;nr_nao_sabe;nr_nao_sabe;nr_nao_sabe;nr_nao_sabe;nr_nao_sabe;2;200;real;1;200;0;0;0;0;0;0;NA;200;200;facebook;sim;melhorou;NR_NAO_SABE;atendeu_plenamente;10;10;10;10;sim;NA;NA;NA;sim;NA;NA;NA;NA;skol;feminino;ensino_medio_completo;solteiro;entre_3_sm_e_5_sm_(rs_2.994,01_a_rs_4.990,00);outra_opcao;outra_opcao;outra_opcao;outra_opcao;outra_opcao;outra_opcao;outra_opcao;outra_opcao;onibus_coletivo;outra_opcao;outra_opcao
703;morador;703;alo_abacaxi;03/03/2019 11:46;00:02:49;28;brasil;mg;contagem;NA;NA;NA;rmbh;sim;nr_nao_sabe;nr_nao_sabe;nr_nao_sabe;nr_nao_sabe;nr_nao_sabe;nr_nao_sabe;2;150;real;1;100;0;0;0;0;0;0;NA;100;100;amigos/parentes;nao;NR_NAO_SABE;NR_NAO_SABE;atendeu_plenamente;10;8;10;5;sim;NA;NA;NA;sim;NA;NA;NA;NA;prefeitura;feminino;ensino_medio_completo;solteiro;entre_3_sm_e_5_sm_(rs_2.994,01_a_rs_4.990,00);outra_opcao;outra_opcao;outra_opcao;outra_opcao;outra_opcao;outra_opcao;outra_opcao;outra_opcao;onibus_coletivo;outra_opcao;outra_opcao
704;morador;704;bloco_angola_janga;03/03/2019 13:57;00:05:07;28;brasil;mg;sabara;NA;NA;NA;rmbh;sim;nr_nao_sabe;nr_nao_sabe;nr_nao_sabe;nr_nao_sabe;nr_nao_sabe;nr_nao_sabe;4;100;real;1;100;50;3;0;30;0;0;NA;183;183;facebook;sim;melhorou;NR_NAO_SABE;atendeu_plenamente;9;2;8;6;sim;NA;NA;sim;NA;NA;NA;NA;NA;prefeitura;feminino;ensino_superior_completo;solteiro;entre_5_sm_e_7_sm_(rs_4.990,01_a_rs_6.986,00);outra_opcao;outra_opcao;outra_opcao;outra_opcao;outra_opcao;outra_opcao;outra_opcao;outra_opcao;onibus_coletivo;outra_opcao;metro
705;morador;705;bloco_angola_janga;03/03/2019 13:22;00:06:31;54;brasil;mg;pedro_leopoldo;NA;NA;NA;rmbh;nao;nr_nao_sabe;nr_nao_sabe;nr_nao_sabe;nr_nao_sabe;nr_nao_sabe;nr_nao_sabe;2;200;real;2;50;30;0;50;0;0;0;NA;130;65;amigos/parentes;nao;NR_NAO_SABE;NR_NAO_SABE;atendeu_em_parte;7;8;8;7;sim;NA;NA;NA;NA;NA;NA;NA;NA;nr_nao_sabe;feminino;ensino_medio_completo;divorciado;entre_1_sm_e_3_sm_(rs_998,01_a_rs_2.994,00);outra_opcao;outra_opcao;outra_opcao;outra_opcao;outra_opcao;outra_opcao;outra_opcao;outra_opcao;onibus_coletivo;outra_opcao;outra_opcao
706;morador;706;bloco_angola_janga;03/03/2019 13:34;00:04:31;37;brasil;mg;belo_horizonte;NA;alipio_de_melo;pampulha;belo_horizonte;sim;nr_nao_sabe;nr_nao_sabe;nr_nao_sabe;nr_nao_sabe;nr_nao_sabe;nr_nao_sabe;5;500;real;3;500;250;100;0;0;0;0;NA;850;850;www.carnavaldebelohorizonte.com.br;sim;piorou;desorganizado;nao_satisfez_decepcionou;6;5;8;6;sim;NA;NA;NA;sim;NA;NA;NA;NA;prefeitura;feminino;ensino_superior_completo;casado;entre_5_sm_e_7_sm_(rs_4.990,01_a_rs_6.986,00);outra_opcao;aplicativos_(uber_cabify_99);outra_opcao;outra_opcao;outra_opcao;outra_opcao;outra_opcao;outra_opcao;outra_opcao;outra_opcao;outra_opcao
707;morador;707;bloco_angola_janga;03/03/2019 13:28;00:03:59;21;brasil;mg;belo_horizonte;NA;liberdade;pampulha;belo_horizonte;nao;nr_nao_sabe;nr_nao_sabe;nr_nao_sabe;nr_nao_sabe;nr_nao_sabe;nr_nao_sabe;3;60;real;1;30;20;0;0;0;0;0;NA;50;50;outros_sites;nao;NR_NAO_SABE;NR_NAO_SABE;atendeu_em_parte;7;8;7;7;sim;NA;NA;NA;NA;NA;NA;NA;NA;skol;feminino;ensino_medio_completo;solteiro;ate_1_sm_(rs_998,00);outra_opcao;outra_opcao;outra_opcao;outra_opcao;outra_opcao;outra_opcao;outra_opcao;outra_opcao;onibus_coletivo;outra_opcao;outra_opcao
